,src_drug,tar_drug,label
88,DB00424,DB06148,1
89,DB00391,DB09076,1
90,DB00391,DB00747,1
91,DB09076,DB00340,1
92,DB01409,DB01337,1
93,DB08897,DB00908,1
94,DB00940,DB06148,1
95,DB09076,DB00424,1
96,DB09076,DB00804,1
97,DB00986,DB00376,1
98,DB00670,DB06148,1
99,DB01409,DB06148,1
100,DB08897,DB00657,1
101,DB00391,DB00979,1
102,DB09076,DB00483,1
103,DB00434,DB01367,1
104,DB00366,DB09244,1
105,DB09076,DB06702,1
106,DB08897,DB01591,1
107,DB00366,DB09241,1
108,DB00782,DB06148,1
109,DB00366,DB01367,1
110,DB00986,DB09300,1
111,DB00283,DB01037,1
112,DB00986,DB00219,1
113,DB09300,DB06148,1
114,DB01409,DB06702,1
115,DB09076,DB00732,1
116,DB06153,DB00182,1
117,DB06153,DB00614,1
118,DB00387,DB06148,1
119,DB08897,DB00219,1
120,DB00391,DB00657,1
121,DB00986,DB12278,1
122,DB08897,DB01116,1
123,DB00986,DB00782,1
124,DB09076,DB00782,1
125,DB00391,DB01062,1
126,DB00283,DB00805,1
127,DB08897,DB00387,1
128,DB00986,DB00483,1
129,DB00434,DB09245,1
130,DB11315,DB06148,1
131,DB00391,DB01409,1
132,DB01409,DB00496,1
133,DB00283,DB00614,1
134,DB00986,DB00517,1
135,DB00986,DB00657,1
136,DB00517,DB06148,1
137,DB09076,DB01199,1
138,DB01071,DB00182,1
139,DB00391,DB00392,1
140,DB08897,DB01199,1
141,DB00908,DB06148,1
142,DB08897,DB12278,1
143,DB08897,DB01409,1
144,DB09076,DB09300,1
145,DB00986,DB00809,1
146,DB01409,DB00462,1
147,DB00391,DB00670,1
148,DB00434,DB09244,1
149,DB01409,DB01338,1
150,DB01409,DB00219,1
151,DB00391,DB00782,1
152,DB00986,DB11315,1
153,DB09076,DB01339,1
154,DB01409,DB00332,1
155,DB09076,DB00747,1
156,DB00391,DB06702,1
157,DB08897,DB00810,1
158,DB01116,DB06148,1
159,DB09076,DB01036,1
160,DB00967,DB06148,1
161,DB08897,DB01090,1
162,DB09076,DB00908,1
163,DB00986,DB01062,1
164,DB00366,DB01037,1
165,DB00986,DB00915,1
166,DB01409,DB00732,1
167,DB01409,DB09300,1
168,DB06153,DB00780,1
169,DB01409,DB01591,1
170,DB00283,DB01367,1
171,DB08897,DB00732,1
172,DB00391,DB00908,1
173,DB00391,DB09300,1
174,DB00986,DB01591,1
175,DB08897,DB06148,1
176,DB00366,DB09245,1
177,DB08897,DB00424,1
178,DB01071,DB01171,1
179,DB01409,DB00940,1
180,DB00804,DB06148,1
181,DB01339,DB06148,1
182,DB00391,DB00804,1
183,DB08897,DB01062,1
184,DB06153,DB09241,1
185,DB01071,DB09245,1
186,DB00986,DB00747,1
187,DB00986,DB01337,1
188,DB00392,DB06148,1
189,DB12278,DB06148,1
190,DB01409,DB01062,1
191,DB08897,DB00462,1
192,DB09076,DB00809,1
193,DB09076,DB00940,1
194,DB00283,DB01168,1
195,DB01409,DB01173,1
196,DB00986,DB01199,1
197,DB01071,DB01626,1
198,DB08897,DB00572,1
199,DB00366,DB00805,1
200,DB00209,DB06148,1
201,DB01409,DB00747,1
202,DB08897,DB00517,1
203,DB00391,DB00462,1
204,DB00391,DB00340,1
205,DB06153,DB09245,1
206,DB00434,DB01247,1
207,DB00979,DB06148,1
208,DB01409,DB00979,1
209,DB01071,DB01168,1
210,DB08897,DB00979,1
211,DB00434,DB00752,1
212,DB01409,DB00483,1
213,DB00391,DB00483,1
214,DB06153,DB01247,1
215,DB01409,DB00245,1
216,DB00391,DB11315,1
217,DB09076,DB00979,1
218,DB00366,DB00182,1
219,DB00391,DB00219,1
220,DB09076,DB01173,1
221,DB01338,DB06148,1
222,DB00376,DB06148,1
223,DB00366,DB00780,1
224,DB00391,DB01339,1
225,DB00810,DB06148,1
226,DB08897,DB00209,1
227,DB01173,DB06148,1
228,DB00391,DB01338,1
229,DB06153,DB09244,1
230,DB09076,DB00517,1
231,DB00391,DB08897,1
232,DB00986,DB00496,1
233,DB00747,DB06148,1
234,DB09076,DB00496,1
235,DB09104,DB01384,2
236,DB09104,DB08906,2
237,DB09275,DB09095,2
238,DB09104,DB01234,2
239,DB01390,DB00764,2
240,DB01377,DB00764,2
241,DB09275,DB00324,2
242,DB06724,DB00223,2
243,DB03754,DB00394,2
244,DB06723,DB00959,2
245,DB06723,DB00547,2
246,DB01377,DB00588,2
247,DB01390,DB01410,2
248,DB01390,DB01047,2
249,DB01370,DB00873,2
250,DB13595,DB00635,2
251,DB08938,DB00596,2
252,DB06724,DB00588,2
253,DB09104,DB01047,2
254,DB01377,DB00288,2
255,DB03754,DB00620,2
256,DB01370,DB00860,2
257,DB01390,DB00591,2
258,DB09281,DB06786,2
259,DB13595,DB00663,2
260,DB13595,DB00223,2
261,DB06724,DB08906,2
262,DB06724,DB00846,2
263,DB01370,DB00240,2
264,DB01390,DB00443,2
265,DB06723,DB01130,2
266,DB09281,DB00663,2
267,DB01377,DB08970,2
268,DB09104,DB00687,2
269,DB01377,DB00838,2
270,DB01370,DB01260,2
271,DB03754,DB02187,2
272,DB08938,DB00180,2
273,DB09275,DB00596,2
274,DB09104,DB00324,2
275,DB13595,DB00591,2
276,DB01370,DB00324,2
277,DB08938,DB01130,2
278,DB09281,DB00288,2
279,DB01377,DB00591,2
280,DB01390,DB00596,2
281,DB01377,DB00846,2
282,DB01377,DB01708,2
283,DB08938,DB01047,2
284,DB01390,DB06781,2
285,DB08938,DB00620,2
286,DB01390,DB00588,2
287,DB01390,DB08906,2
288,DB01370,DB11921,2
289,DB08938,DB01410,2
290,DB09275,DB01047,2
291,DB09275,DB00620,2
292,DB09275,DB00635,2
293,DB03754,DB04574,2
294,DB09275,DB11921,2
295,DB01390,DB00663,2
296,DB09275,DB01260,2
297,DB09275,DB00223,2
298,DB01370,DB00180,2
299,DB01377,DB00663,2
300,DB01377,DB13158,2
301,DB13595,DB00896,2
302,DB03754,DB00663,2
303,DB06723,DB01410,2
304,DB09275,DB08970,2
305,DB03754,DB00959,2
306,DB01370,DB08905,2
307,DB09281,DB00180,2
308,DB03754,DB00596,2
309,DB08938,DB00764,2
310,DB06724,DB00655,2
311,DB09104,DB01708,2
312,DB06723,DB00240,2
313,DB03754,DB00896,2
314,DB01370,DB08971,2
315,DB09104,DB00838,2
316,DB08938,DB00741,2
317,DB01370,DB00687,2
318,DB09104,DB00764,2
319,DB06724,DB00687,2
320,DB01390,DB00838,2
321,DB01390,DB00896,2
322,DB09281,DB00741,2
323,DB06723,DB08970,2
324,DB01370,DB00959,2
325,DB06723,DB01708,2
326,DB06724,DB01013,2
327,DB09104,DB00180,2
328,DB09275,DB01234,2
329,DB08938,DB00687,2
330,DB13595,DB13158,2
331,DB01390,DB01260,2
332,DB08938,DB00547,2
333,DB13595,DB04574,2
334,DB09104,DB06781,2
335,DB09275,DB00240,2
336,DB01370,DB00547,2
337,DB08938,DB00324,2
338,DB13595,DB00687,2
339,DB06723,DB00253,2
340,DB01370,DB08970,2
341,DB09275,DB00838,2
342,DB03754,DB00180,2
343,DB13595,DB01013,2
344,DB01377,DB00620,2
345,DB13595,DB11921,2
346,DB09281,DB00896,2
347,DB09275,DB08906,2
348,DB09104,DB01260,2
349,DB09275,DB00253,2
350,DB06724,DB01260,2
351,DB01370,DB01047,2
352,DB03754,DB00443,2
353,DB09104,DB00547,2
354,DB13595,DB00838,2
355,DB06723,DB00394,2
356,DB06723,DB01384,2
357,DB03754,DB00860,2
358,DB13595,DB00860,2
359,DB06723,DB00741,2
360,DB01370,DB00443,2
361,DB09104,DB01130,2
362,DB08938,DB00655,2
363,DB08938,DB08906,2
364,DB09104,DB06786,2
365,DB06724,DB00838,2
366,DB13595,DB08906,2
367,DB06724,DB01222,2
368,DB06724,DB00240,2
369,DB09281,DB08971,2
370,DB09275,DB02187,2
371,DB06723,DB00896,2
372,DB09281,DB09091,2
373,DB01390,DB00687,2
374,DB01377,DB00253,2
375,DB13595,DB01708,2
376,DB01370,DB00394,2
377,DB13595,DB00873,2
378,DB01377,DB00443,2
379,DB01377,DB09091,2
380,DB01370,DB02187,2
381,DB09281,DB00838,2
382,DB01370,DB00253,2
383,DB03754,DB09095,2
384,DB09104,DB00288,2
385,DB01390,DB09095,2
386,DB13595,DB09095,2
387,DB13595,DB00324,2
388,DB01390,DB00860,2
389,DB09281,DB11921,2
390,DB08938,DB00846,2
391,DB08938,DB00253,2
392,DB06723,DB00846,2
393,DB09275,DB01222,2
394,DB09104,DB08971,2
395,DB01377,DB08906,2
396,DB09275,DB00443,2
397,DB01377,DB00394,2
398,DB01390,DB08970,2
399,DB06723,DB00223,2
400,DB08938,DB00288,2
401,DB01377,DB01013,2
402,DB01377,DB01222,2
403,DB06724,DB01234,2
404,DB09281,DB00687,2
405,DB01390,DB04574,2
406,DB01370,DB00620,2
407,DB09281,DB06781,2
408,DB01377,DB00635,2
409,DB09104,DB01410,2
410,DB01390,DB01013,2
411,DB01370,DB01130,2
412,DB03754,DB00547,2
413,DB01370,DB00588,2
414,DB01377,DB00687,2
415,DB01377,DB01260,2
416,DB13595,DB00588,2
417,DB09104,DB02187,2
418,DB06723,DB00588,2
419,DB09275,DB01384,2
420,DB09104,DB08970,2
421,DB09281,DB00591,2
422,DB13595,DB00394,2
423,DB03754,DB06786,2
424,DB06723,DB08906,2
425,DB13595,DB09091,2
426,DB03754,DB00873,2
427,DB03754,DB01234,2
428,DB01390,DB08971,2
429,DB01390,DB00288,2
430,DB03754,DB01047,2
431,DB13595,DB01384,2
432,DB09281,DB08970,2
433,DB01370,DB00896,2
434,DB08938,DB01013,2
435,DB01390,DB00873,2
436,DB06724,DB00635,2
437,DB08938,DB01708,2
438,DB09275,DB08905,2
439,DB09281,DB00394,2
440,DB01370,DB00846,2
441,DB13595,DB01222,2
442,DB01370,DB01234,2
443,DB08938,DB01234,2
444,DB01370,DB00288,2
445,DB08938,DB00443,2
446,DB09275,DB00959,2
447,DB09275,DB00394,2
448,DB00375,DB01118,2
449,DB06724,DB00324,2
450,DB09281,DB02187,2
451,DB03754,DB00591,2
452,DB01370,DB08906,2
453,DB01370,DB04574,2
454,DB06723,DB00324,2
455,DB01390,DB06786,2
456,DB06723,DB01222,2
457,DB09104,DB00655,2
458,DB09275,DB00860,2
459,DB09104,DB08905,2
460,DB13595,DB00180,2
461,DB01370,DB06786,2
462,DB06723,DB01260,2
463,DB13595,DB00764,2
464,DB01377,DB06786,2
465,DB01370,DB00635,2
466,DB06724,DB00741,2
467,DB08938,DB00896,2
468,DB06723,DB00288,2
469,DB06723,DB00591,2
470,DB06724,DB04574,2
471,DB01390,DB09091,2
472,DB13595,DB00253,2
473,DB09275,DB00741,2
474,DB01390,DB01384,2
475,DB09281,DB01234,2
476,DB06723,DB00764,2
477,DB13595,DB06786,2
478,DB03754,DB01410,2
479,DB01390,DB00324,2
480,DB06723,DB01234,2
481,DB09275,DB00846,2
482,DB01377,DB08905,2
483,DB01377,DB01380,2
484,DB08938,DB06786,2
485,DB09104,DB00223,2
486,DB09275,DB01708,2
487,DB09281,DB01708,2
488,DB09104,DB00846,2
489,DB03754,DB06781,2
490,DB09275,DB04574,2
491,DB09275,DB01013,2
492,DB06723,DB13158,2
493,DB09275,DB00591,2
494,DB01377,DB00959,2
495,DB09275,DB01380,2
496,DB09281,DB08905,2
497,DB09104,DB00588,2
498,DB09275,DB06781,2
499,DB08938,DB00838,2
500,DB01390,DB00180,2
501,DB01377,DB00324,2
502,DB01377,DB01130,2
503,DB09281,DB01222,2
504,DB09275,DB00896,2
505,DB03754,DB00588,2
506,DB03754,DB08906,2
507,DB06724,DB09095,2
508,DB06723,DB00838,2
509,DB01377,DB00596,2
510,DB03754,DB01130,2
511,DB06724,DB00180,2
512,DB06724,DB01130,2
513,DB03754,DB00741,2
514,DB06724,DB00394,2
515,DB03754,DB00838,2
516,DB01390,DB00635,2
517,DB01370,DB00741,2
518,DB08938,DB06781,2
519,DB09104,DB01380,2
520,DB01377,DB00896,2
521,DB09275,DB00288,2
522,DB01370,DB00838,2
523,DB08938,DB01222,2
524,DB08938,DB02187,2
525,DB13595,DB01130,2
526,DB09275,DB08971,2
527,DB06724,DB01384,2
528,DB06723,DB09095,2
529,DB01370,DB01013,2
530,DB01377,DB02187,2
531,DB09275,DB01130,2
532,DB09281,DB00655,2
533,DB13595,DB00443,2
534,DB01390,DB00620,2
535,DB03754,DB08905,2
536,DB01390,DB13158,2
537,DB09281,DB09095,2
538,DB09281,DB00588,2
539,DB09281,DB00240,2
540,DB09275,DB01410,2
541,DB09281,DB00764,2
542,DB08938,DB11921,2
543,DB01377,DB00860,2
544,DB13595,DB08905,2
545,DB01370,DB00591,2
546,DB06723,DB01047,2
547,DB08938,DB09091,2
548,DB06724,DB00764,2
549,DB09104,DB00591,2
550,DB03754,DB01222,2
551,DB13595,DB00655,2
552,DB09275,DB00663,2
553,DB13595,DB00620,2
554,DB01370,DB00663,2
555,DB13595,DB06781,2
556,DB06724,DB08905,2
557,DB08938,DB04574,2
558,DB09281,DB00860,2
559,DB06723,DB01013,2
560,DB09104,DB00253,2
561,DB13595,DB02187,2
562,DB08938,DB00873,2
563,DB09281,DB01410,2
564,DB01377,DB00741,2
565,DB09104,DB00596,2
566,DB03754,DB11921,2
567,DB01390,DB00741,2
568,DB09104,DB01222,2
569,DB09104,DB00394,2
570,DB13595,DB01260,2
571,DB09104,DB00663,2
572,DB08938,DB09095,2
573,DB06724,DB01047,2
574,DB13595,DB01380,2
575,DB03754,DB00655,2
576,DB09275,DB00764,2
577,DB09281,DB01380,2
578,DB01390,DB08905,2
579,DB06724,DB00596,2
580,DB01370,DB00596,2
581,DB01377,DB04574,2
582,DB01377,DB01234,2
583,DB09275,DB00180,2
584,DB09281,DB00324,2
585,DB06724,DB00663,2
586,DB06724,DB13158,2
587,DB06723,DB08971,2
588,DB06724,DB01410,2
589,DB06723,DB00596,2
590,DB01370,DB01380,2
591,DB09275,DB00547,2
592,DB06724,DB00959,2
593,DB09275,DB00588,2
594,DB01377,DB00180,2
595,DB08938,DB13158,2
596,DB09104,DB00240,2
597,DB09281,DB00547,2
598,DB13595,DB00596,2
599,DB00794,DB00672,3
600,DB00238,DB08828,3
601,DB01201,DB09166,3
602,DB00599,DB00344,3
603,DB01320,DB06739,3
604,DB01320,DB11915,3
605,DB01174,DB06738,3
606,DB01174,DB00240,3
607,DB00238,DB00802,3
608,DB01201,DB09389,3
609,DB00794,DB01349,3
610,DB00794,DB01409,3
611,DB00564,DB00222,3
612,DB00794,DB00904,3
613,DB00312,DB00575,3
614,DB00400,DB00255,3
615,DB00615,DB00246,3
616,DB09280,DB00911,3
617,DB01355,DB09216,3
618,DB01201,DB06292,3
619,DB00794,DB06155,3
620,DB00849,DB01054,3
621,DB00238,DB01028,3
622,DB01201,DB00185,3
623,DB00564,DB00356,3
624,DB01174,DB04938,3
625,DB00794,DB00337,3
626,DB01201,DB00477,3
627,DB00252,DB00502,3
628,DB00252,DB01435,3
629,DB00564,DB09477,3
630,DB00794,DB06803,3
631,DB00599,DB09236,3
632,DB09280,DB00381,3
633,DB00252,DB12161,3
634,DB09280,DB01409,3
635,DB01174,DB00214,3
636,DB01201,DB01223,3
637,DB01045,DB00346,3
638,DB00564,DB00945,3
639,DB01174,DB09389,3
640,DB01045,DB01041,3
641,DB00238,DB00575,3
642,DB00252,DB00991,3
643,DB00312,DB11915,3
644,DB00165,DB00418,3
645,DB00615,DB01256,3
646,DB00794,DB00731,3
647,DB00794,DB00338,3
648,DB00615,DB01023,3
649,DB00564,DB01154,3
650,DB00794,DB00185,3
651,DB01174,DB00910,3
652,DB09280,DB00496,3
653,DB00607,DB00568,3
654,DB01320,DB05351,3
655,DB00238,DB00541,3
656,DB01320,DB00751,3
657,DB00474,DB00458,3
658,DB01201,DB06654,3
659,DB00794,DB00214,3
660,DB01045,DB00567,3
661,DB00238,DB01149,3
662,DB01045,DB00869,3
663,DB01201,DB01076,3
664,DB00615,DB00943,3
665,DB00607,DB07615,3
666,DB01045,DB00528,3
667,DB00312,DB00604,3
668,DB00615,DB01384,3
669,DB01320,DB01028,3
670,DB01201,DB01351,3
671,DB01174,DB09026,3
672,DB00794,DB11737,3
673,DB01320,DB00726,3
674,DB09280,DB01393,3
675,DB00615,DB00586,3
676,DB00599,DB01418,3
677,DB01045,DB01240,3
678,DB01201,DB01159,3
679,DB01201,DB01097,3
680,DB01320,DB13179,3
681,DB01045,DB00712,3
682,DB00794,DB00845,3
683,DB00474,DB09230,3
684,DB01320,DB00673,3
685,DB01201,DB00339,3
686,DB01174,DB00724,3
687,DB00418,DB01065,3
688,DB01320,DB00927,3
689,DB01201,DB00390,3
690,DB09280,DB00842,3
691,DB00418,DB06736,3
692,DB01045,DB01186,3
693,DB09280,DB00169,3
694,DB00238,DB00361,3
695,DB00564,DB09078,3
696,DB01174,DB00266,3
697,DB00312,DB00481,3
698,DB00564,DB00943,3
699,DB00238,DB00528,3
700,DB01045,DB06654,3
701,DB00418,DB01261,3
702,DB00599,DB00543,3
703,DB01437,DB00266,3
704,DB00564,DB01020,3
705,DB00564,DB01283,3
706,DB00615,DB08877,3
707,DB00564,DB06695,3
708,DB01201,DB00983,3
709,DB00238,DB01067,3
710,DB01045,DB00193,3
711,DB00615,DB00496,3
712,DB00794,DB01036,3
713,DB00252,DB06216,3
714,DB00418,DB09235,3
715,DB01201,DB00705,3
716,DB00238,DB05271,3
717,DB00794,DB00745,3
718,DB00564,DB06403,3
719,DB01201,DB11362,3
720,DB01045,DB06148,3
721,DB01045,DB00474,3
722,DB00252,DB00584,3
723,DB00564,DB00655,3
724,DB01174,DB00912,3
725,DB01045,DB01221,3
726,DB01174,DB00570,3
727,DB00238,DB00772,3
728,DB00312,DB00589,3
729,DB00615,DB01012,3
730,DB00418,DB00482,3
731,DB00564,DB00446,3
732,DB01201,DB00546,3
733,DB00794,DB00925,3
734,DB00418,DB00731,3
735,DB00564,DB00327,3
736,DB00615,DB00175,3
737,DB01201,DB00296,3
738,DB00794,DB00862,3
739,DB00418,DB00404,3
740,DB00564,DB00641,3
741,DB00564,DB00656,3
742,DB00794,DB01105,3
743,DB00238,DB00643,3
744,DB01201,DB01380,3
745,DB01174,DB00263,3
746,DB00564,DB00184,3
747,DB00252,DB00612,3
748,DB00564,DB01466,3
749,DB00312,DB00458,3
750,DB00312,DB08992,3
751,DB00312,DB00661,3
752,DB00564,DB01050,3
753,DB00615,DB00647,3
754,DB00564,DB01067,3
755,DB01174,DB00185,3
756,DB01201,DB00404,3
757,DB00474,DB00321,3
758,DB01320,DB12161,3
759,DB00794,DB00778,3
760,DB00312,DB01194,3
761,DB00418,DB06292,3
762,DB01320,DB00768,3
763,DB01201,DB01132,3
764,DB01045,DB00976,3
765,DB00607,DB00977,3
766,DB00794,DB00412,3
767,DB01174,DB00180,3
768,DB01174,DB01558,3
769,DB01174,DB00215,3
770,DB00418,DB09167,3
771,DB01355,DB00726,3
772,DB01320,DB06207,3
773,DB00238,DB05351,3
774,DB00418,DB08828,3
775,DB00418,DB09048,3
776,DB01320,DB00947,3
777,DB00615,DB06595,3
778,DB01201,DB06700,3
779,DB00312,DB08828,3
780,DB01320,DB00373,3
781,DB01045,DB06770,3
782,DB00794,DB01072,3
783,DB01045,DB00972,3
784,DB00312,DB00622,3
785,DB00312,DB00925,3
786,DB00564,DB08906,3
787,DB01174,DB00481,3
788,DB00474,DB09090,3
789,DB01320,DB09297,3
790,DB00564,DB00540,3
791,DB00252,DB06209,3
792,DB01045,DB00498,3
793,DB00559,DB00946,3
794,DB01201,DB00745,3
795,DB00607,DB00996,3
796,DB00238,DB01396,3
797,DB00238,DB06155,3
798,DB00252,DB00575,3
799,DB01201,DB11574,3
800,DB00312,DB01396,3
801,DB01045,DB06742,3
802,DB00794,DB01196,3
803,DB01320,DB00675,3
804,DB01174,DB01015,3
805,DB00312,DB00924,3
806,DB00794,DB12483,3
807,DB00418,DB00712,3
808,DB00794,DB06216,3
809,DB01320,DB06700,3
810,DB00559,DB01418,3
811,DB01320,DB00987,3
812,DB01201,DB12161,3
813,DB01174,DB00451,3
814,DB01201,DB00396,3
815,DB01174,DB06145,3
816,DB00615,DB00717,3
817,DB01174,DB00588,3
818,DB00312,DB00758,3
819,DB00564,DB01621,3
820,DB01201,DB08922,3
821,DB00794,DB01601,3
822,DB00794,DB04930,3
823,DB00607,DB01023,3
824,DB00418,DB00363,3
825,DB00252,DB00980,3
826,DB00418,DB09289,3
827,DB00673,DB06725,3
828,DB00418,DB00678,3
829,DB01045,DB00377,3
830,DB01045,DB00296,3
831,DB00564,DB01115,3
832,DB01201,DB01219,3
833,DB01201,DB00349,3
834,DB00615,DB01026,3
835,DB00238,DB00451,3
836,DB01174,DB13874,3
837,DB01154,DB00543,3
838,DB00252,DB01227,3
839,DB00564,DB11581,3
840,DB00794,DB04898,3
841,DB00564,DB01410,3
842,DB00312,DB00091,3
843,DB01355,DB09232,3
844,DB00312,DB11817,3
845,DB00238,DB00997,3
846,DB00794,DB00472,3
847,DB00252,DB00377,3
848,DB01201,DB00675,3
849,DB01174,DB06702,3
850,DB00238,DB00546,3
851,DB00564,DB00678,3
852,DB00849,DB00498,3
853,DB01320,DB00320,3
854,DB00564,DB09289,3
855,DB00564,DB00239,3
856,DB00564,DB01409,3
857,DB01355,DB00568,3
858,DB00849,DB00946,3
859,DB00418,DB00412,3
860,DB00564,DB01171,3
861,DB01154,DB09227,3
862,DB01045,DB11915,3
863,DB00794,DB00947,3
864,DB01351,DB00540,3
865,DB00252,DB06736,3
866,DB01045,DB12026,3
867,DB00238,DB00471,3
868,DB00599,DB00321,3
869,DB09280,DB00497,3
870,DB00252,DB00589,3
871,DB01320,DB00590,3
872,DB00252,DB00808,3
873,DB00564,DB00333,3
874,DB01045,DB11581,3
875,DB00564,DB06770,3
876,DB00615,DB00332,3
877,DB01201,DB05351,3
878,DB00794,DB00748,3
879,DB01174,DB01708,3
880,DB00615,DB01221,3
881,DB01174,DB00734,3
882,DB01201,DB00636,3
883,DB01201,DB00263,3
884,DB01045,DB01466,3
885,DB00252,DB01138,3
886,DB00615,DB06702,3
887,DB00312,DB00433,3
888,DB00794,DB00757,3
889,DB00312,DB11613,3
890,DB00564,DB01039,3
891,DB09280,DB00593,3
892,DB00418,DB00316,3
893,DB01174,DB00309,3
894,DB00564,DB00647,3
895,DB01174,DB00379,3
896,DB00312,DB06702,3
897,DB00564,DB00006,3
898,DB00312,DB08893,3
899,DB01201,DB00906,3
900,DB00252,DB09183,3
901,DB00794,DB00481,3
902,DB00418,DB01357,3
903,DB01045,DB01190,3
904,DB00794,DB00758,3
905,DB00252,DB01559,3
906,DB00312,DB00731,3
907,DB00238,DB06712,3
908,DB01320,DB00883,3
909,DB00238,DB00227,3
910,DB01045,DB00796,3
911,DB01201,DB00215,3
912,DB00418,DB09570,3
913,DB00564,DB00263,3
914,DB00794,DB01098,3
915,DB01320,DB01175,3
916,DB00238,DB00553,3
917,DB00615,DB06292,3
918,DB00418,DB01171,3
919,DB01174,DB00471,3
920,DB00849,DB08992,3
921,DB00564,DB08893,3
922,DB00794,DB00683,3
923,DB01201,DB00921,3
924,DB01045,DB00263,3
925,DB01045,DB00647,3
926,DB01174,DB06777,3
927,DB00564,DB00814,3
928,DB00794,DB00339,3
929,DB00615,DB06207,3
930,DB01201,DB01085,3
931,DB01174,DB00502,3
932,DB00252,DB01154,3
933,DB00615,DB00278,3
934,DB00673,DB06803,3
935,DB00474,DB01151,3
936,DB00312,DB00344,3
937,DB01201,DB01124,3
938,DB01174,DB00477,3
939,DB01045,DB06145,3
940,DB01201,DB00285,3
941,DB01045,DB00316,3
942,DB01320,DB11574,3
943,DB00474,DB09167,3
944,DB01320,DB09080,3
945,DB09280,DB01023,3
946,DB00794,DB01544,3
947,DB00312,DB01227,3
948,DB00418,DB04938,3
949,DB01320,DB00863,3
950,DB00599,DB09216,3
951,DB00615,DB00234,3
952,DB00312,DB00571,3
953,DB01201,DB03756,3
954,DB01355,DB09230,3
955,DB00564,DB01074,3
956,DB00312,DB01002,3
957,DB00418,DB00726,3
958,DB01045,DB00444,3
959,DB00400,DB04574,3
960,DB00599,DB09231,3
961,DB01320,DB01142,3
962,DB01355,DB07615,3
963,DB00564,DB05351,3
964,DB01045,DB00203,3
965,DB01045,DB04871,3
966,DB01320,DB00997,3
967,DB01174,DB00911,3
968,DB00615,DB11614,3
969,DB00418,DB06210,3
970,DB00418,DB00402,3
971,DB00451,DB00651,3
972,DB00252,DB00207,3
973,DB00418,DB01181,3
974,DB00400,DB00977,3
975,DB00252,DB01424,3
976,DB00312,DB06738,3
977,DB00252,DB00346,3
978,DB01320,DB01274,3
979,DB00564,DB00755,3
980,DB00615,DB01380,3
981,DB01320,DB11828,3
982,DB00312,DB06710,3
983,DB01320,DB00327,3
984,DB01320,DB00865,3
985,DB00615,DB00370,3
986,DB01174,DB00589,3
987,DB00615,DB01227,3
988,DB01045,DB09082,3
989,DB01201,DB01008,3
990,DB01320,DB00969,3
991,DB00418,DB01095,3
992,DB00794,DB00343,3
993,DB00474,DB01418,3
994,DB00564,DB00471,3
995,DB01045,DB00446,3
996,DB00252,DB01126,3
997,DB00238,DB08877,3
